支付宝交易记录明细查询
账号:[demo@example.com]
起始日期:[2025-09-01 00:00:00]    终止日期:[2026-09-17 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号,商家订单号,交易创建时间,付款时间,最近修改时间,交易来源地,类型,交易对方,商品名称,金额（元）,收/支,交易状态,服务费（元）,成功退款（元）,备注,资金状态,
2025090112001,DD001,2025-09-01 08:15:00,2025-09-01 08:15:00,2025-09-01 08:15:00,支付宝,即时到账交易,滴滴出行,滴滴出行-快车,23.50,支出,交易成功,0.00,0.00,,已支出,
2025090112002,MT002,2025-09-01 12:30:00,2025-09-01 12:30:00,2025-09-01 12:30:00,支付宝,即时到账交易,美团外卖,美团外卖-午餐,28.00,支出,交易成功,0.00,0.00,,已支出,
2025090212003,DD003,2025-09-02 09:20:00,2025-09-02 09:20:00,2025-09-02 09:20:00,支付宝,即时到账交易,高德打车,高德打车-出租车,18.00,支出,交易成功,0.00,0.00,,已支出,
2025090312004,SB004,2025-09-03 14:00:00,2025-09-03 14:00:00,2025-09-03 14:00:00,支付宝,即时到账交易,星巴克,星巴克-美式咖啡,32.00,支出,交易成功,0.00,0.00,,已支出,
2025090412005,MT005,2025-09-04 19:30:00,2025-09-04 19:30:00,2025-09-04 19:30:00,支付宝,即时到账交易,美团,美团-晚餐,68.00,支出,交易成功,0.00,0.00,,已支出,
2025090512006,EL006,2025-09-05 12:10:00,2025-09-05 12:10:00,2025-09-05 12:10:00,支付宝,即时到账交易,饿了么,饿了么-午餐,25.00,支出,交易成功,0.00,0.00,,已支出,
2025090612007,SF007,2025-09-06 10:00:00,2025-09-06 10:00:00,2025-09-06 10:00:00,支付宝,即时到账交易,顺丰速运,顺丰速运-寄件,22.00,支出,交易成功,0.00,0.00,,已支出,
2025090812008,DD008,2025-09-08 08:00:00,2025-09-08 08:00:00,2025-09-08 08:00:00,支付宝,即时到账交易,滴滴出行,滴滴出行-快车,26.00,支出,交易成功,0.00,0.00,,已支出,
2025090912009,JD009,2025-09-09 15:30:00,2025-09-09 15:30:00,2025-09-09 15:30:00,支付宝,即时到账交易,京东,京东-办公文具,45.90,支出,交易成功,0.00,0.00,,已支出,
2025091012010,GM010,2025-09-10 20:00:00,2025-09-10 20:00:00,2025-09-10 20:00:00,支付宝,即时到账交易,国家电网,电费缴纳,156.00,支出,交易成功,0.00,0.00,,已支出,
2025091112011,CT011,2025-09-11 09:00:00,2025-09-11 09:00:00,2025-09-11 09:00:00,支付宝,即时到账交易,携程旅行,携程-酒店预订,480.00,支出,交易成功,0.00,0.00,,已支出,
2025091212012,DD012,2025-09-12 18:40:00,2025-09-12 18:40:00,2025-09-12 18:40:00,支付宝,即时到账交易,滴滴出行,滴滴出行-快车,31.20,支出,交易成功,0.00,0.00,,已支出,
2025091312013,MT013,2025-09-13 13:00:00,2025-09-13 13:00:00,2025-09-13 13:00:00,支付宝,即时到账交易,美团外卖,美团外卖-午餐,35.50,支出,交易成功,0.00,0.00,,已支出,
2025091412014,LD014,2025-09-14 11:20:00,2025-09-14 11:20:00,2025-09-14 11:20:00,支付宝,即时到账交易,瑞幸咖啡,瑞幸咖啡-拿铁,19.90,支出,交易成功,0.00,0.00,,已支出,
2025091512015,CM015,2025-09-15 10:00:00,2025-09-15 10:00:00,2025-09-15 10:00:00,支付宝,即时到账交易,中国移动,中国移动-手机话费,100.00,支出,交易成功,0.00,0.00,,已支出,
2025091612016,DD016,2025-09-16 07:50:00,2025-09-16 07:50:00,2025-09-16 07:50:00,支付宝,即时到账交易,哈啰出行,哈啰单车-骑行,1.50,支出,交易成功,0.00,0.00,,已支出,
2025091612017,GS017,2025-09-16 18:00:00,2025-09-16 18:00:00,2025-09-16 18:00:00,支付宝,即时到账交易,某公司,工资发放,12000.00,收入,交易成功,0.00,0.00,,已收入,
2025091712018,MT018,2025-09-17 12:00:00,2025-09-17 12:00:00,2025-09-17 12:00:00,支付宝,即时到账交易,美团外卖,美团外卖-午餐,29.00,支出,交易成功,0.00,0.00,,已支出,
